QPS,pruning_ratio,recall,gamma,ef,enable_batch_dco
917.1548219626259,0.8976708984375,0.6816,0.67,10
410.2024848996964,0.9043641357421875,0.90819,0.67,30
295.41660618249324,0.9066517944335938,0.95862,0.67,50
231.24760064923268,0.908959716796875,0.97656,0.67,70
194.41728176689045,0.9120808715820312,0.98332,0.67,90
176.46627948154313,0.9156015625,0.98609,0.67,150
164.36684066840022,0.9169326171875,0.98839,0.67,300
156.85338270902434,0.9173952026367187,0.98946,0.67,400
144.25053504506025,0.91780322265625,0.99124,0.67,600
134.3264744152394,0.9178128662109375,0.99237,0.67,800
125.17773263269922,0.9176130981445313,0.99332,0.67,1000

925.5061284409662,0.897116455078125,0.68378,0.67,10,3910.13,334.508
415.55534639486785,0.9044382934570312,0.90942,0.67,30,9780.333,824.79
287.4009775310386,0.9069661254882813,0.95949,0.67,50,14409.136,1218.296
214.4055026143665,0.9091130981445312,0.97726,0.67,70,18289.074,1541.176
184.21747505953473,0.912109619140625,0.98415,0.67,90,21797.416,1793.465
166.05248065771337,0.9156528930664063,0.98686,0.67,150,23950.112,1907.82
157.80033399026036,0.9169027709960937,0.98898,0.67,300,25520.472,2019.533
148.94148770895663,0.917355712890625,0.99004,0.67,400,26557.228,2094.456
139.8739158389559,0.9177892456054687,0.99179,0.67,600,28609.268,2247.812
127.87299723221062,0.9178179321289063,0.99277,0.67,800,30629.396,2404.359
121.21203714171637,0.917628173828125,0.99373,0.67,1000,32625.17,2563.624


274.57486205151605,0.00025052011013031004,0.8485,0.0,200,3868.733,3868.21
180.36935797462903,0.00021131736040115356,0.90119,0.0,300,5475.095,5474.459
143.97705980745684,0.0001924911141395569,0.92886,0.0,400,6988.364,6987.601
121.71228355594998,0.0001917535662651062,0.94574,0.0,500,8425.289,8424.362
93.9149494060366,0.00016676896810531615,0.96506,0.0,700,11117.513,11116.408
77.5428915700606,0.00015880203247070312,0.97478,0.0,900,13640.887,13639.583
66.03924796163867,0.0001435149312019348,0.98108,0.0,1100,16019.888,16018.496
58.27333992447717,0.00013446068763732911,0.98492,0.0,1300,18287.816,18286.34
51.964729631584255,0.00012651282548904418,0.98742,0.0,1500,20462.232,20460.618
