QPS,pruning_ratio,recall,nprobe,k_factor,total_distance_computation,actual_distance_computation
817.4977843985405,0.0,0.7656,20,80,800.0,800.0
752.2720322696648,0.0,0.8257,30,80,800.0,800.0
726.9908642209837,0.0,0.8614,40,80,800.0,800.0
500.63989889573577,0.0,0.9067,60,80,800.0,800.0
295.77934288291465,0.0,0.9298,80,80,800.0,800.0
285.6222955013595,0.0,0.9361,90,80,800.0,800.0
237.76311621476808,0.0,0.943,100,80,800.0,800.0
194.17473197548793,0.0,0.9766,200,80,800.0,800.0
135.29023102438828,0.0,0.9865,300,80,800.0,800.0
105.08266868686023,0.0,0.9901,400,80,800.0,800.0
89.53592011908397,0.0,0.9919,500,80,800.0,800.0

607.0589733718133,0.0,0.8202,30,80,800.0,800.0
431.1715461385907,0.0,0.9176,70,80,800.0,800.0
361.7261140080833,0.0,0.9278,80,80,800.0,800.0
356.5378989998111,0.0,0.9344,90,80,800.0,800.0
302.2575430995655,0.0,0.941,100,80,800.0,800.0
146.1125928778862,0.0,0.9884,300,80,800.0,800.0
105.16830397885994,0.0,0.993,400,80,800.0,800.0
87.86878542045329,0.0,0.9938,500,80,800.0,800.0

# IVF4096,PQ96x4fs,Refine(PQ384x8)
79.80264261928527,0.0,0.744,20,2000,20000.0,20000.0
84.76178793588076,0.0,0.802,30,2000,20000.0,20000.0
77.3854542126813,0.0,0.834,40,2000,20000.0,20000.0
65.56593494717431,0.0,0.862,50,2000,20000.0,20000.0
63.16129327605358,0.0,0.876,60,2000,20000.0,20000.0
73.54072395016566,0.0,0.89,70,2000,20000.0,20000.0
63.50123200720658,0.0,0.903,80,2000,20000.0,20000.0
75.32042982329176,0.0,0.907,90,2000,20000.0,20000.0
65.22813340223729,0.0,0.914,100,2000,20000.0,20000.0
63.93059293080099,0.0,0.945,200,2000,20000.0,20000.0
62.48601838868671,0.0,0.954,300,2000,20000.0,20000.0
54.831259030030296,0.0,0.958,400,2000,20000.0,20000.0
56.697796827073034,0.0,0.961,500,2000,20000.0,20000.0
